"","n","Depressed_mood","Lack_of_interest","Worthlessness_or_guilt","Thoughts_of_death","Neutral","Other","tweet"
"256",256,28,5,3,2,12,50,"i need more than just a night of sleep to fix this kind of tiredness."
"257",257,25,5,26,2,8,34,"i'm never shocked when people let me down anymore. i just hate the fact that i put myself in a position to be let down in the first place."
"258",258,29,3,7,0,26,35,"so many people in this world have trust issues because people say \""i'm here for you\"" and then run away as soon as things start to fall apart"
"259",259,33,7,4,43,0,13,"i should wake up feeling glad but i dont. i want to go back to sleep and stay that way forever. i dont want to wake up. i want to give up."
"260",260,21,7,6,2,24,40,"if i can't trust you with my life, i'm not letting you into it. simple to be honest and i don't know why is it so hard for you to understand"
"261",261,25,4,5,3,7,56,"sleeping is so hard when you can't stop thinking"
"262",262,20,3,37,4,14,22,"i wish someone was afraid to lose me i'm always scared of losing people that i love but i doubt anyone would fight to keep me in their life."
"263",263,76,2,7,1,5,9,"what's painful is when you're on the brink of crying and falling apart. and you have to really force it in. so people can't see you breaking"
"264",264,30,6,7,6,20,31,"i need someone who will understand how unstable i am, sometimes being alone can be dangerous for me but other times its exactly what i need."
"265",265,14,2,3,2,11,68,"Oh how much I hate my mother.  -tg"
"266",266,11,4,5,2,12,66,"i wanna be a jellyfish and sting everyone who annoys me"
"267",267,38,5,8,1,3,45,"sometimes i get a little fed up fighting so damn hard every single day for something i should not have to fight for at all."
"268",268,53,5,7,1,4,30,"some people are so emotionally drained that even sleep doesn't do anything. you constantly wake up still tired. and It just doesn't go away."
"269",269,30,2,3,0,29,36,"But through all the bullshit &amp; terrible things, you just gotta keep on smiling, &amp; pull through it. -tg http://00"
"270",270,14,3,5,2,4,72,"I'm just really really annoyed.  -tg"
"271",271,13,2,4,1,3,77,"Okay. Now I'm getting very pissed off.  -tg"
"272",272,18,2,6,4,5,65,"I'm so fucking done living with them. -tg http://00"
"273",273,16,10,4,5,39,26,"We are spectators to a crumbling empire. Have a great Monday!"
"274",274,32,2,49,1,3,13,"No one cares about me.  -tg"
"275",275,30,3,8,2,31,26,"They act like they do, but when I really need them... They're no where to be found.  -tg"
"276",276,14,3,2,1,45,35,"I honestly just need that one person who does.   -tg"
"277",277,17,1,7,47,16,12,":musical_note:Ive had enough Theres a voice in my head Says Im better off dead But if I sing along A little fucking louder to a happy song Ill be alright"
"278",278,29,1,40,2,6,22,"Everyone leaves me.   -tg"
"279",279,20,4,32,1,11,32,"I wish my parents would actually let me be myself &amp; not ashamed of me &amp; my interests.  -tg"
"280",280,61,8,3,1,11,16,"I like to pretend that everything’s alright. Cause when everybody else thinks you’re fine, sometimes you forget for a while that you’re not"
"281",281,48,3,5,1,4,39,"you can't just break someone into a million pieces and treat them like crap and then expect them to be okay just because you say \""I'm sorry\"""
"282",282,22,5,18,3,22,30,"when someone stops talking to me the way they used to, i sit and stress myself thinking if everything else we shared together was just a lie"
"283",283,30,2,22,4,10,32,"some people gave up on me, they didn't love me enough to keep me. because if you really love someone you'd never stop fighting to keep them."
"284",284,29,5,19,4,13,30,"i don't like getting close to people because i know i over think a lot and i don't want to hurt anyone, i don't want to hurt myself"
"285",285,38,7,11,2,5,37,"i'm so tired of getting lied to, tired of being used, tired of fake people, tired of pleasing people, tired of judgmental people. just tired"
"286",286,41,3,4,1,21,30,"i'm always forcing myself not to act how i feel."
"287",287,38,1,7,7,17,30,"holding some things in can really kill you on the inside."
"288",288,23,4,11,0,20,42,"RT @00: When you feel lonely remember; You pushed me away."
"289",289,30,4,17,5,24,20,"RT @00: What ever happened to \""I'll always be there for you\"" ? It didn't happen here. You left when I needed you the most"
"290",290,13,9,8,4,32,34,"if a person is happy and their decisions and has no effect on your life at all, then why are you talking about them and why do you even care"
"291",291,37,5,5,1,12,40,"i hate when you want to talk about something that bothers you, but you feel you've already talked about it too much so you just hold it in."
"292",292,68,0,5,3,6,18,"do you ever feel a loneliness that's so deep that your chest aches, and you can be in a room full of people, but still feel that awful ache."
"293",293,65,4,14,1,4,12,"i really hate that feeling of emptiness that you can't fulfill. its the feeling that no matter how hard you try nothing is ever going change"
"294",294,12,1,4,2,67,14,"if you're following my personal account and I haven't followed you on this account just fav this tweet.<3"
"295",295,18,4,8,3,35,32,"believe me, there's a reason behind this madness"
"296",296,36,5,12,2,19,26,"i'm sorry i have trust issues, but when you give someone everything and they toss it away like nothing, something inside of you just breaks."
"297",297,42,3,12,3,16,24,"i cannot make you understand. i cannot make anyone understand what is happening inside me. i cannot even explain it to myself."
"298",298,53,3,18,2,7,17,"i don’t think it ever stops hurting, giving somebody the best of you and watching them chose someone else."
"299",299,22,9,3,2,3,61,"i always get re pissed about an old situation whenever i start thinking about it again."
"300",300,23,1,28,2,19,27,"people make mistakes, then there's me."
"301",301,24,1,49,2,20,4,"RT @00: I just want someone to make me feel loved, because I can't love myself."
"302",302,24,3,21,1,17,34,"RT @00: Please don't get tired of me http://00"
"303",303,84,1,3,3,1,8,"RT @00: Being sad but unable to cry because you're surrounded by people is the worst."
"304",304,80,2,8,0,3,7,"RT @00: Crying alone in your room and feeling lonely because no one knows your suffering is one if the worst things ever."
"305",305,45,2,3,9,19,22,"Because i would have never thought it would hurt this much to loose someone :( </3 been 2 months since my granny passed-mc http://00"
"306",306,13,3,2,2,46,34,"My granny was/is so special to me. She gave me the best advice ever and to always love myself no matter what. To always follow my dreams-mc"
"307",307,7,3,3,1,55,31,"She always pushed me to be the best and even though sometimes it could be a bit overwhelming I'm so grateful now -mc"
"308",308,18,3,9,7,34,29,"She always called me sweetie and unfortunately I wasn't able to say goodbye to her..she died at such a young age -mc"
"309",309,18,4,1,9,38,30,"She had cancer and the doctors gave her about 5 years maybe or less..she lasted 6 months. It was very heavy towards all of us -mc"
"310",310,10,2,8,2,51,27,"My last conversation with her was through the phone as she was already in the hospital and she was under medication so she talked a lot of+"
"311",311,19,1,8,0,20,52,"Nonsense and I was repeating \""I love you I love you\"" and she would be screaming and I would be crying and then she wanted to Skype with me+"
"312",312,36,2,25,0,21,16,"But I was just so scared of breaking down in front of her that I didn't. I regret that so much. That same night she got into a coma. -mc"
"313",313,22,5,5,3,41,24,"It's as if she knew she was going to leave..and that same night she prayed for all of us and then went silent and into a coma..-mc"
"314",314,52,2,5,3,23,15,"I'm sorry for telling you guys all of this..I just needed to let it all out. I just fucking miss her..-mc"
"315",315,13,3,3,3,42,36,"I don't really know how to pray so can somebody please do me the favor of praying for my granny Yaya?jst want to make sure she's at peace-mc"
"316",316,4,1,2,81,7,5,"/:)/  DEATH    /   | \    \:)/  COMES     \      | \     :)    / \\   | \   FOR EVERYONE"
"317",317,7,1,5,2,55,30,"I don't think they ever did -cq http://00"
"318",318,9,4,3,2,55,27,"But you will always matter to me -cq http://00"
"319",319,7,2,17,2,47,25,"Sorry if I do -cq http://00"
"320",320,27,7,4,0,4,58,"have you ever been in one of those moods where you don't really know whats wrong but you feel really irritated with everyone and everything"
"321",321,12,3,12,1,30,42,"most of the time i know what i want to say but i never know how to say it."
"322",322,4,2,9,2,39,44,"i'll admit it, i crave attention from you."
"323",323,21,3,4,0,31,41,"the most expensive thing in the world is trust. it can take years to earn and just a matter of seconds to lose."
"324",324,22,5,64,1,3,5,"i’m so ashamed of myself because i know i should be better then this, but i have no idea how to get there."
"325",325,5,4,5,5,19,62,"@00 you seriously need to get a life!! no one wants to here this kind of shit!! yep that's what it is!!!"
"326",326,41,3,6,1,22,27,"sometimes people have nothing to say because they’re too empty and sometimes people have nothing to say because they’re too full."
"327",327,16,12,19,2,20,31,"There's someone out there for everyone. They probably suck though."
"328",328,10,2,16,1,36,35,"do you ever look back into your life and realize that one small choice could of completely changed your life?"
"329",329,55,2,5,0,15,23,"sometimes the only reason why you won't let go of what's making you so sad is because it was the only thing that made you happy."
"330",330,81,3,6,0,3,7,"being sad is fine, what hurts more is when you get used to that sadness and make it your home."
"331",331,5,3,5,4,36,47,"some people should come with a limited data plan."
"332",332,5,2,2,4,33,54,"twitter is my safe house. you don't get to ruin it."
"333",333,8,3,0,4,45,40,"it's one thing to know the path and another to walk it."
"334",334,55,12,12,1,3,17,"my only relief is to sleep, when i'm sleeping, i'm not sad, i'm not angry, i'm not scared, i'm not hurting, i'm not lonely. i'm just nothing"
"335",335,35,5,24,3,6,27,"i'm scared to get close to people because i think they will eventually walk out of my life no matter how close we are because thay always do"
"336",336,79,3,4,1,4,9,"I'm so unhappy -mc"
"337",337,4,1,0,2,75,18,"What do you guys think about this ? -mc http://00"
"338",338,24,1,2,3,24,46,"do not mock a pain that you haven’t endured."
"339",339,19,4,8,0,27,42,"you'll be pretty disappointed if you think everyone has the same heart that you do.."
"340",340,39,5,14,0,10,32,"the saddest part is that you can treat me however you want because at the end of the day i'll still be here for you no matter what"
"341",341,23,4,4,3,30,36,"i want to talk to you so badly i want to know how your day was i want to know if you laughed and why. i just really want to hear your voice."
"342",342,19,4,7,1,29,40,"it feels like i am thinking too much about what i should do next to improve my path through life, instead of doing it."
"343",343,81,4,6,1,2,6,"typing 'haha' when you can't even smile, acting like you're happy when all you want to do is cry, tell everyone you're okay when you're  not"
"344",344,6,0,4,2,55,33,"Literally woke up like this lol -cq http://00"
"345",345,32,0,11,3,8,46,"i really hate ending things on bad terms or not having proper closure with someone especially knowing there were so many things left unsaid."
"346",346,55,5,11,2,2,25,"i really hate that feeling when you see something and your heart literally sinks, but you have to just sit there and pretend you don’t care."
"347",347,49,6,28,1,3,13,"it hurts when you can feel yourself becoming less and less important, to the person who means the most to you. and being unable to stop it."
"348",348,36,2,9,10,18,25,"i need someone who will understand how unstable i am, sometimes being alone can be dangerous for me but other times its exactly what i need."
"349",349,36,14,7,2,20,21,"i just need a day off from reality, just a day without people, problems, and all the bullshit that runs through my mind."
"350",350,13,1,3,1,34,48,"never take someone's feelings for granted because you never know how much courage that they took to show it to you."
"351",351,81,3,6,1,4,5,"the worst type of crying is at night, when everyone's asleep and you have to control it with your hand over your mouth to not make a sound."
"352",352,20,1,10,5,18,46,"you promised me you had my back, but you didn't tell me your knife had it too..."
"353",353,49,3,37,1,1,9,"do you ever just sit there and realize that you mean nothing to anyone, and you start feeling lost, alone, and unloved, and truly unwanted."
"354",354,7,3,6,1,27,56,"RT @00: Alrighty then... Now that I've got all the retard out of my mentions and off my timeline... Where was I?"
"355",355,9,7,8,0,22,54,"RT @00: I've had way too much caffeine today to tolerate the amount of retardation that has come frolicking it's merry way thr…"
"356",356,57,2,3,2,4,32,"i built walls around my heart one brick after the next, with each brick representing another time i was hurt by someone i trusted and loved."
"357",357,17,19,40,0,9,15,"do you ever write a really long message and about halfway through you're like \""you know what, they don't even care\"" and end up deleting it."
"358",358,7,2,6,2,12,71,"@00 fuck off stop being jealous!!"
"359",359,7,2,1,2,21,67,"@00 buy the way asshole i'm black!!!"
"360",360,11,75,5,2,2,5,"honstly i have lost all interest in literally everything that used to make me really happy and that's probably the shittiest part of it all."
"361",361,13,4,8,3,33,39,"Life Hack: Lower your expectations."
"362",362,33,1,8,2,18,38,"have you ever really wanted to ask a question, but you didn't because you knew in your heart that you wouldn't be able to handle the answer?"
"363",363,23,5,29,2,20,21,"if i ever go missing just knock on the doors of everyone i've ever loved and ask what direction they threw me in when they were done with me"
"364",364,30,11,4,1,13,41,"i always think that when i lay in bed it'd be so peaceful and i don't have to think about anything but then i start to overthink everything."
"365",365,6,2,3,1,13,75,"@00 fuck off stay of my page"
"366",366,23,2,22,2,20,31,"RT @00: Please don't get tired of me http://00"
"367",367,31,2,5,3,5,54,"RT @00: Tired and scared http://00"
"368",368,7,2,1,4,69,17,"Totally recommend the song soap by @00  because it is an awesome song and you can look at it many ways -cq"
"369",369,71,4,15,1,1,8,"every time i put myself back together i watch myself fall apart again. and every single time is worse than before."
"370",370,23,6,9,0,18,44,"i hate being able to detect the slightest change in the way people message me, or talk to me, or even the way they look at me."
"371",371,3,1,3,4,45,44,"@00 awe thanks sweetheart. I'm actually having a pretty good day so far so :grin: -cq"
"372",372,25,0,7,2,36,30,"It's not pessimistic, it's realistic."
"373",373,16,4,36,1,8,35,"i regret being nice, apologizing when i didn't do anything wrong, and for making unworthy people a priority in my life."
"374",374,20,1,8,2,38,31,"Wrote this last year for my English class..nobody understood I actually mean all of this -mc http://00"
"375",375,5,1,3,0,63,28,"This is going to be a crazy, fun, tiring, loooonngg, memorable weekend. Let's do this.  -tg"
"376",376,10,2,3,3,59,23,"What's up? I did my makeup today and I was really proud so that's why I posted this -cq http://00"
"377",377,43,11,15,4,16,11,"I feel lost -cq http://00"
"378",378,6,1,2,1,75,15,"Haven't you? -cq http://00"
"379",379,28,1,4,4,28,35,"I obviously cared more than you did -cq http://00"
"380",380,6,4,4,3,51,32,"Don't let fear control you, beat the system -cq http://00"
"381",381,84,1,5,3,1,6,"have you ever wanted to cry but no tears came out, so you just stare blankly into space while feeling your heart break into a million pieces"
"382",382,31,2,6,1,31,29,"everybody has gone through something, that has painfully  changed them in a way that they could never go back to the person they once were."
"383",383,8,10,10,3,37,32,"RT if you have nothing better to do with your life."
"384",384,65,3,3,2,8,19,"Do you ever find out that the person you like is taken &amp; your heart breaks into thousands of pieces? Cause same.  -tg"
"385",385,8,1,2,2,50,37,"I'm very salty rn tbhhh -tg"
"386",386,15,8,10,1,21,45,"If I tweet anything from now to tomorrow morning ignore it. Im not all here....  -tg"
"387",387,9,2,9,3,7,70,"I'm so fucking annoyed. This isn't even funny. Uuugggggggghhhhhhhhh -tg"
"388",388,13,2,4,2,5,74,"Literally sitting on a curb next to the hotel I'm staying at in Philly, at 4:17am. Cause I'm so annoyed.  -tg http://00"
"389",389,11,3,7,4,16,59,"This weekend was supposed to be fucking amazing, &amp; it kinda actually sucks. Awesome. That's a waste of a lot of money. -tg"
"390",390,37,0,41,3,5,14,"the saddest people try their best to make people happy they know what it's like to feel worthless, they dont want anyone else to feel that."
"391",391,8,0,7,69,2,14,"Sleep is good, death is better, but of course, the best thing would never to have been born at all.   - Heinrich Heine"
"392",392,20,2,75,0,2,1,"i truly feel like everything i say or do is always wrong, like i'm a total disappointment to everyone, and all i ever do is let people down."
"393",393,15,1,40,0,12,32,"i wish someone was afraid to lose me i'm always scared of losing people that i love but i doubt anyone would fight to keep me in their life."
"394",394,10,1,7,55,8,19,"No one likes a suicidal bitch. -tg"
"395",395,9,2,3,76,4,6,"I'm in NYC rn &amp; all I want to do is get hit by a car. -tg"
"396",396,43,3,38,0,0,16,"If it wasn't for loneliness, I'd have nothing but failure, misery and regret."
"397",397,83,3,6,1,2,5,"have you ever wanted to cry but no tears came out, so you just stare blankly into space while feeling your heart break into a million pieces"
"398",398,77,3,10,2,3,5,"we hide behind a fake smile to mask the pain but sometimes we wish someone would look closely enough and see how broken we really are inside"
"399",399,75,6,6,1,7,5,"have you been so sad and tired and want to be alone, but at the same time you really wish there was someone who you could talk to who cares."
"400",400,3,3,6,2,66,20,"Going out tonight. Do I look okay? -cq http://00"
"401",401,24,2,3,1,15,55,"So the last few days was filled with emotions. I was very happy, sad, angry, wanted to punch someone in the face, but had good times.idk -tg"
"402",402,11,5,2,52,9,21,"My phone is about to die. Lucky bastard."
"403",403,6,1,6,2,66,19,"HOROSCOPE: no missed calls"
"404",404,70,2,17,0,1,10,"no one ever notices your tears, no one notices your sadness, no one notices your pain. but they always seem to notice your mistakes."
"405",405,11,2,28,0,14,45,"i always get nervous when people stop replying to me its like did i say something wrong did i scare them away did i offend you in some way."
"406",406,9,2,8,76,2,3,"Maybe Im better off dead. If I was would it finally be enough to shut out all those demons in my head?:musical_note: Better off dead Sleeping With Sirens"
"407",407,66,1,18,0,3,12,"do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet"
"408",408,5,1,6,1,41,46,"Never give up, no matter how stupid and clearly unattainable your goals are!"
"409",409,53,3,5,1,16,22,"it hurts like hell when you know that you need to let go of someone but you can't, because you're still waiting for the impossible to happen"
"410",410,75,4,7,0,8,6,"that embarrassing moment when you have to quickly wipe away your tears, put a fake smile on, because you hear someone coming in to the room."
"411",411,54,3,7,1,4,31,"i hate getting flashbacks from things you don't want to remember, it feels like your heart suddenly drops and anxiety starts taking over you"
"412",412,47,4,7,1,13,28,"The past still hurts me at times. -ga"
"413",413,19,3,10,0,31,37,"The rich get richer and the poor stay us."
"414",414,6,3,7,1,68,15,"Me with Alex &amp; Brennan from 7 minutes in heaven in NYC :) -tg http://00"
"415",415,51,2,29,2,1,15,"I'm making myself sad. I messed up Saturday night. I wish I could go back &amp; fix it. -tg"
"416",416,36,4,37,0,13,10,"On the outside I make it appear that I have no regrets, but on the inside I'm filled with them.  -tg"
"417",417,23,1,45,2,3,26,"I always lay awake at night thinking &amp; rethinking all of my regrets, &amp; how I wish I could go back&amp; change them. &amp; hate myself even more. -tg"
"418",418,12,3,13,1,29,42,"I care waaaaaaayyyy too much what others think of me. -tg"
"419",419,40,2,5,0,18,35,"\""you've changed\""  try going through what i've gone through and then see if you're the same. pain changes people it makes it harder to trust"
"420",420,65,4,3,1,4,23,"i really hate that feeling when you see something and your heart literally sinks, but you have to just sit there and pretend you don’t care."
"421",421,75,0,9,3,3,10,"i constantly keep telling myself it’s okay to be alone, but sometimes i find myself crying and really craving for someone to just hold me.."
"422",422,55,26,3,2,3,11,"i feel myself changing, i don't even laugh the same anymore, i don't smile the same, or talk the same, i'm just so damn tired of everything."
"423",423,42,2,7,0,12,37,"when you have a good heart you help too much you trust too much, you give too much you love too much and it always seems you hurt the most."
"424",424,5,2,3,2,68,20,"If you live near a Wawa's, I am forever jealous. I went the for the first time Friday &amp; love it. -tg http://00"
"425",425,3,2,12,1,58,24,"That's all I am -cq http://00"
"426",426,83,3,7,3,1,3,"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay there and think about all my problems."
"427",427,6,1,2,3,57,31,"I know the feeling well -cq http://00"
"428",428,35,1,41,0,6,17,"I'll never have anyone -cq http://00"
"429",429,16,7,2,2,19,54,"I don't like showing emotion -cq http://00"
"430",430,17,5,1,2,48,27,"But your not here -cq http://00"
"431",431,15,2,67,4,3,9,"I will always be replaced by someone better -cq http://00"
"432",432,13,2,64,1,6,14,"But you made me feel worthless and used -cq http://00"
"433",433,22,1,59,4,6,8,"Maybe that's why no one likes me -cq http://00"
"434",434,18,4,1,7,16,54,"And I can't wake up -cq http://00"
"435",435,58,10,11,3,7,11,"I used to be happy and full of life -cq http://00"
"436",436,7,1,3,82,1,6,"I only think about death and how much the world doesn't need me -ca http://00"
"437",437,15,5,43,3,15,19,"I wanna be somewhere where I'm wanted -cq http://00"
"438",438,61,3,7,2,13,14,"And the pain never dulls -ca http://00"
"439",439,30,7,9,2,23,29,"I'll never set high expectations so they can't be destroyed -cq http://00"
"440",440,4,3,4,2,52,35,"Don't judge someone else -cq http://00"
"441",441,21,3,1,3,53,19,"It's just a normality for me -cq http://00"
"442",442,25,2,64,0,1,8,"And no one wants me -cq http://00"
"443",443,7,1,5,1,50,36,"I envy you -cq http://00"
"444",444,8,3,2,1,10,76,"Who? I want to kick their ass. -cq http://00"
"445",445,4,1,4,1,67,23,"This song is life -cq http://00"
"446",446,59,2,4,0,13,22,"I'm always in pain -cq http://00"
"447",447,7,4,5,3,54,27,"Look at the smaller signs -cq http://00"
"448",448,38,3,10,2,27,20,"But nobody ever comes -cq http://00"
"449",449,47,8,6,22,10,7,"It's hard to live life -cq http://00"
"450",450,8,1,4,3,61,23,"@00 its amazing. Why can't there be any in Massachusetts T.T"
"451",451,22,6,6,3,22,41,"you keep a lot to yourself because it's difficult to find people who understand."
"452",452,18,2,32,39,0,9,"Its no ones fault but my own that everyone I've ever cared about is gone. I pushed them all away. I deserve nothing but to die painfully -cq"
"453",453,19,6,57,11,2,5,"I just wanted to make a change, but all I did was ruin people's lives. I've never helped anyone. I don't belong here anymore -cq"
"454",454,16,3,3,67,2,9,"I'm sick and tired of living all I want to do rn is due -,1"
"455",455,7,0,1,2,58,32,"Is it normal to not have your first kiss by 17? -cq"
"456",456,21,2,74,0,1,2,"I feel undesirable because no one likes me or wants to date me. No wonder though. I'm just not good enough -cq"
"457",457,71,1,9,2,6,11,"she cries herself to sleep every night, wakes up the next day, puts make up on and a beautiful smile and tries to hide her unbearable pain."
"458",458,2,5,2,0,68,23,"OMFG I JUST REALIZED HMU MEANS HIT ME UP -cq"
"459",459,59,3,29,2,1,6,"do you ever feel like you've been abandoned by everybody and the only thing you have left to look forward to in life is completely nothing."
"460",460,19,2,14,0,24,41,"if you’re mad at me, please just tell me what i did wrong instead of ignoring me."
"461",461,6,4,5,6,8,71,"@00 you are a disgrace, how dare you spew hate to @00 you don't know shit about her!!"
"462",462,6,2,4,2,21,65,"RT @00: If I wanted your opinion , I would ask for it. News flash! I didn't"
"463",463,37,16,9,0,13,25,"every day is a struggle. i am constantly on edge, going back and forth between caring too much and not caring at all."
"464",464,72,4,11,2,1,10,"do you ever feel a loneliness so deeply that your chest aches and you can be sitting in a room full of people but still feel that awful ache"
"465",465,56,2,7,3,14,18,"do you ever just smell an old perfume or hear an old song, or pass an old hangout spot. and it really breaks you inside for a couple minutes"
"466",466,18,3,25,1,22,31,"do you ever tell someone something and they don't react the way you wanted them to react and you immediately regret ever opening your mouth."
"467",467,15,44,5,3,3,30,"RT @00: I don't even have the energy for you all anymore."
"468",468,7,3,4,1,50,35,"RT @00: \""The concept you have about me won't change who I am, but it can change my concept about you.\"""
"469",469,13,3,5,1,23,55,"i really hate when people first meet me and they're like \""you're so quiet\"" like i don't even know you what am i suppose to talk to you about"
"470",470,73,2,3,2,6,14,"suffering from depression and social anxiety, is something only those people experiencing it can totally understand the hell you go through."
"471",471,13,4,2,5,36,40,"RT @00: \""Worrying won't stop the bad stuff from happening. It just stops you from enjoying the good.\"""
"472",472,10,0,8,1,54,27,"RT @00: \""The concept you have about me won't change who I am, but it can change my concept about you.\"""
"473",473,18,4,6,3,23,46,"RT @00: \""Staying quiet doesn't mean I don't have anything to say, it means I don't think you're ready to hear my thoughts.\"""
"474",474,12,3,3,2,8,72,"RT @00: Dammit. I can't sleep again."
"475",475,59,5,9,0,15,12,"you can only be so strong for so long until you reach a point where you break physically, mentally, emotional."
"476",476,36,1,15,2,5,41,"social anxiety really sucks because you're scared to talk to people but you're also dying to talk to people and it makes you feel like shit."
"477",477,52,3,28,1,3,13,"it really hurts to be forgotten especially by people you thought were the most important, it hurts to know that you are after all, all alone"
"478",478,38,3,4,3,16,36,"when you’re fighting a mental illness you’re fighting a silent battle. no one sees just how hard you’re constantly having to fight every day"
"479",479,77,7,4,0,6,6,"you know that feeling when something just doesn't feel right, holding back your tears because you know tears isn't going to change anything."
"480",480,57,2,22,0,5,14,"it's sad to think how much damage self hate can do to your body  it damages you mentally it fucks you up emotionally it hurts you physically"
"481",481,28,1,5,2,24,40,"overthinking ruins you. ruins the situation, twists things around, makes you worry and just makes everything much worse than it actually is."
"482",482,53,3,24,1,5,14,"nothing hurts more then being ignored, replaced, forgotten, lied to."
"483",483,23,4,4,1,9,59,"have you ever been in such an antisocial mood that whenever people try and talk to you, you get completely frustrated at them and everything"
"484",484,22,1,48,2,4,23,"What I lack in self-esteem, I more than make up for in self-hate."
"485",485,56,5,11,2,5,21,"my problem is that i start depending on people for my happiness, and when they leave like they always do, they take my happiness with them."
"486",486,16,13,44,1,7,19,"do you ever write a really long message and about halfway through you're like \""you know what, they don't even care\"" and end up deleting it."
"487",487,4,3,3,0,73,17,"Is it the #APMAs or who can lose the most chill ??? -tg"
"488",488,57,16,6,1,1,19,"waking up has always been difficult, but knowing you have to go out, and face the world has become physically painful for me."
"489",489,52,1,8,2,17,20,"i don't think people really understand how hard it is to explain what's going on in your head, when you don't even understant it yourself."
"490",490,66,4,1,1,6,22,"have you ever read or come across something that kills you on the inside and you're kinda just like \""oh.\"" and it just ruins your entire day?"
"491",491,62,10,7,3,3,15,"waking up has always been difficult, but knowing you have to go out, and face the world has become physically painful for me."
"492",492,55,4,2,1,11,27,"she took a deep breath and closed her eyes, wanting to scream out so loud but with all the strength she had, she kept everything inside."
"493",493,11,4,6,64,7,8,"He died doing what he loves: not having to live anymore."
"494",494,66,8,1,3,0,22,"waking up has always been difficult, but knowing you have to go out, and face the world has become physically painful for me."
"495",495,61,3,8,2,11,15,"i have so many ups and downs and after an up i'm always so scared for the next down cause i know how i am and what i do when i'm feeling low"
"496",496,64,1,3,0,11,21,"those teenagers who sit in their rooms at night cry themselves to sleep were once children with light in their eyes and hope in their heart."
"497",497,15,2,20,1,12,50,"Having acne scars makes me hate myself without makeup. But I'm just trying to be more confident in my own skin. -tg http://t.co/w5cQ9HuHmQ"
"498",498,36,3,14,1,7,39,"when i’m hurt, i shut down, i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it"
"499",499,9,1,2,3,41,44,"Okay, it's 3:30 in the morning, i need to get some sleep. Nigghtt♡ -tg"
"500",500,77,2,5,3,3,10,"when you're actually feeling good for a moment because everything seems to be going okay, and then something happens and boom sadness again."
